objectid,state,admin1_pcode,dt,dt_pcode,township,admin3_pcode,self_admin,st_rg,p_code_v,floodyears,no_of_flo,storm_surg,year_2008_storm_surge,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,flood_prob,flood_count
273,Tanintharyi,MMR006,Kawthoung,MMR006D003,Kawthoung,MMR006009,NA,Region,9.3,"2017,2018",2,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.13333333333333333,2
304,Yangon,MMR013,Yangon (South),MMR013D003,Kayan,MMR013026,NA,Region,9.3,"2008,2015",2,2008,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,3
48,Shan (East),MMR016,Kengtung,MMR016D001,Kengtung,MMR016001,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
123,Sagaing,MMR005,Shwebo,MMR005D002,Khin-U,MMR005005,NA,Region,9.3,"2015,2019,2020,2021",4,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.26666666666666666,4
279,Yangon,MMR013,Yangon (South),MMR013D003,Kungyangon,MMR013029,NA,Region,9.3,"2008,2015",2,2008,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,3
128,Shan (North),MMR015,Lashio,MMR015D001,Kunlong,MMR015020,NA,State,9.3,2020,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06666666666666667,1
84,Ayeyarwady,MMR017,Pyapon,MMR017D006,Kyaiklat,MMR017025,NA,Region,9.3,2008,1,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,2
303,Mon,MMR011,Mawlamyine,MMR011D001,Kyaikmaraw,MMR011002,NA,State,9.3,"2012,2013,2018,2019,2021",5,NA,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0.3333333333333333,5
315,Mon,MMR011,Thaton,MMR011D002,Kyaikto,MMR011009,NA,State,9.3,"2015,2017,2018",3,NA,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.2,3
83,Kayin,MMR003,Kawkareik,MMR003D003,Kyainseikgyi,MMR003007,NA,State,9.3,"2012,2015,2016,2017,2018,2019,2020,2021",8,NA,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0.5333333333333333,8
270,Ayeyarwady,MMR017,Hinthada,MMR017D002,Kyangin,MMR017012,NA,Region,9.3,"2015,2016",2,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.13333333333333333,2
25,Bago (East),MMR007,Taungoo,MMR007D002,Kyaukkyi,MMR007011,NA,Region,9.3,"2015,2017,2018,2019,2020",5,NA,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0.3333333333333333,5
124,Shan (North),MMR015,Kyaukme,MMR015D003,Kyaukme,MMR015012,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
314,Rakhine,MMR012,Kyaukpyu,MMR012D003,Kyaukpyu,MMR012011,NA,State,9.3,"2010,2015",2,2010,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.2,3
171,Yangon,MMR013,Yangon (West),MMR013D004,Kyauktada,MMR013033,NA,Region,9.3,2008,1,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,2
253,Bago (East),MMR007,Bago,MMR007D001,Kyauktaga,MMR007006,NA,Region,9.3,"2015,2018,2020",3,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.2,3
284,Yangon,MMR013,Yangon (South),MMR013D003,Kyauktan,MMR013024,NA,Region,9.3,"2008,2015,2018",3,2008,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.26666666666666666,4
299,Rakhine,MMR012,Mrauk-U,MMR012D005,Kyauktaw,MMR012004,NA,State,9.3,"2011,2015,2019",3,NA,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.2,3
181,Ayeyarwady,MMR017,Pathein,MMR017D001,Kyaunggon,MMR017007,NA,Region,9.3,"2015,2016,2017,2021",4,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0.26666666666666666,4
10,Yangon,MMR013,Yangon (West),MMR013D004,Kyeemyindaing,MMR013038,NA,Region,9.3,2008,1,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,2
19,Ayeyarwady,MMR017,Pathein,MMR017D001,Kyonpyaw,MMR017005,NA,Region,9.3,"2011,2015,2016",3,NA,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.2,3
245,Sagaing,MMR005,Kanbalu,MMR005D010,Kyunhla,MMR005008,NA,Region,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
324,Ayeyarwady,MMR017,Labutta,MMR017D004,Labutta,MMR017016,NA,Region,9.3,"2008,2015",2,2008,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,3
79,Sagaing,MMR005,Naga Self-Administered Zone,MMR005S001,Lahe,MMR005036,Naga,Region,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
36,Shan (South),MMR014,Langkho,MMR014D003,Langkho,MMR014018,NA,State,9.3,2020,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06666666666666667,1
5,Yangon,MMR013,Yangon (West),MMR013D004,Lanmadaw,MMR013035,NA,Region,9.3,2008,1,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,2
