state,admin1_pcode,township,admin3_pcode,total_population_2021proj,food_security_pin_2022,food_security_target_2022,conflict_events,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,fatalities,conflict_score,flood_count,flood_prob,vul_score_2019,unsafe_water_2019,poor_housing_2019,no_middle_school_2019,no_electricity_2019,no_id_card_2019,female_illiteracy_2019,child_dependency_2019
Chin,MMR004,Tedim,MMR004004,94465.77959061916,52712,13178.02374715142,58,27,8,0,12,11,130,0.0591309857385577,2,0.13333333333333333,0.5456907562806254,0.35687828868187016,0.4593973914212656,0.579601167851044,0.8262162994910702,0.2659488941784762,0.2183821038777848,0.7555199843767557
Chin,MMR004,Tonzang,MMR004005,34367.46198817385,19177,5000,3,2,0,0,1,0,12,0.00346141141435298,2,0.13333333333333333,0.6557797443164318,0.8996095327807597,0.5627832481130962,0.5788547664747281,0.8904540766697301,0.29921365985171877,0.21651501055390351,0.830357108867804
Chin,MMR004,Hakha,MMR004002,52127.97296104466,29200,20000,88,33,11,7,31,6,160,0.11563150983480652,1,0.06666666666666667,0.31919180890654353,0.02330103560169892,0.02578510609999305,0.5236579303126772,0.5391464596467138,0.20672531980352993,0.16664505269297772,0.5322698267497814
Chin,MMR004,Thantlang,MMR004003,54307.87785282231,30920,7730.014039556785,62,22,9,0,27,4,115,0.08377225859684494,1,0.06666666666666667,0.4328827868986247,0.03167577236868462,0.02929141185068887,0.5880832602575345,0.4937826335641818,0.2159013022618231,0.2163372059433269,0.6669713609599113
Chin,MMR004,Matupi,MMR004007,55361.17512248934,30892,7723.116072157207,113,51,19,1,34,8,286,0.13148477262989314,1,0.06666666666666667,0.4247867733633192,0.02360617663764269,0.06858646697572715,0.6282473954899117,0.6467567247686764,0.19779723991507425,0.2103127874514494,0.7646497976515056
Chin,MMR004,Paletwa,MMR004009,104632.20052507172,62734,40000,27,7,6,1,12,1,19,0.04200357979070341,4,0.26666666666666666,0.4928720857590123,0.12566415354907937,0.09360490508574944,0.7491525423728813,0.7099587016018449,0.3439212488017055,0.3162969159159241,0.7771623127337676
Chin,MMR004,Mindat,MMR004006,45926.77961905409,27757,20000,164,92,20,1,42,9,415,0.1976579611705654,1,0.06666666666666667,0.46266948030711663,0.06689453585533402,0.07756121482724783,0.6739495798319328,0.7177705616004809,0.1946911586596689,0.2857828161995365,0.8574254849203092
Chin,MMR004,Kanpetlet,MMR004008,23171.461839256557,13461,5000,59,39,3,0,13,4,127,0.06083479711752324,1,0.06666666666666667,0.4481174775575545,0.07953060901353441,0.09568762886916445,0.6542707728065078,0.6580363204605866,0.23715174465783065,0.28102044856893676,0.8836507535217059
Kachin,MMR001,Bhamo,MMR001010,154328.6819752977,47502,11875.51480958475,64,10,20,1,26,7,19,0.06832243790570439,6,0.4,0.2807805061531813,0.04022147332066859,0.04755727631783994,0.5193164390564522,0.38127374752874954,0.22483816698972311,0.06620037751371627,0.3967157850125672
Kachin,MMR001,Shwegu,MMR001011,107655.37796938862,30515,7629.27225272046,77,46,14,1,9,7,155,0.08507747707126265,6,0.4,0.37081574490541486,0.05778900153689966,0.06308941616088756,0.639752506746824,0.5077772107083504,0.2892443993755587,0.03452281983214814,0.4330161577393416
Kachin,MMR001,Momauk,MMR001012,71457.52921976405,37244,9310.76634196921,209,106,78,0,14,11,140,0.2291755160668748,2,0.13333333333333333,0.3840873408970737,0.04871678649074933,0.04720419766181463,0.6372672767434522,0.4650984777202063,0.20984766702650837,0.19613532594955127,0.4332402493147044
Kachin,MMR001,Mansi,MMR001013,60134.76943987677,26268,6567.154605327822,50,30,19,0,1,0,8,0.07390758140884945,1,0.06666666666666667,0.33065351882260985,0.06747959004037903,0.04857905160948531,0.6566520357196912,0.4846456612968896,0.27240374510365917,0.1238274080620326,0.43017541177709784
Kachin,MMR001,Mohnyin,MMR001007,237713.2149515665,62570,15642.46040479048,101,28,30,8,20,15,193,0.13672683849334163,1,0.06666666666666667,0.3075425528186466,0.02883977363227256,0.0447369257027732,0.5502836661938897,0.2989804704034541,0.22269730981649735,0.0535306215546413,0.5087507631650715
Kachin,MMR001,Mogaung,MMR001008,150615.76175055586,40665,10166.563581145812,40,13,7,6,9,5,14,0.0626221477573314,2,0.13333333333333333,0.301497777349242,0.03730766098383527,0.0478693354769359,0.5388403543277074,0.24147018855365449,0.2559158215493025,0.07604816125663826,0.54622764323456
Kachin,MMR001,Hpakant,MMR001009,376752.9342027131,101926,25481.447300020223,242,93,84,11,30,24,194,0.2580445911629891,3,0.2,0.2239558657281753,0.05877423971351944,0.04452161607369069,0.4406333503894479,0.3646564467079397,0.17506645326414205,0.06781987345998798,0.2851098796580345
Kachin,MMR001,Myitkyina,MMR001001,360733.65404065774,103166,25791.498650643873,132,17,39,20,37,19,24,0.22731315136048896,5,0.3333333333333333,0.2454005388066109,0.05325934509269014,0.07312582299030257,0.39756127317207857,0.29960769653227354,0.21621474907037977,0.11226697038312176,0.4092641283461526
Kachin,MMR001,Waingmaw,MMR001002,142592.4921061458,57138,14284.40725014808,100,40,37,2,14,7,11,0.14864631841816503,3,0.2,0.45562904229778944,0.12259032770628192,0.1000852384887821,0.6075780622447061,0.5375511365532238,0.2886722376973073,0.31711867045946257,0.5166461683020851
Kachin,MMR001,Injangyang,MMR001003,1967.200314852518,933,232.7217121528395,11,9,1,0,1,0,0,0.00716246781697992,NA,0,0.650097726033649,0.2097092709926868,0.1607108510659266,0.6271820448877805,0.5097311633782637,0.24357034795763988,0.34712050769594377,0.506455836226242
Kachin,MMR001,Tanai,MMR001004,68169.3970537721,18789,4696.98799300862,71,38,18,0,12,3,56,0.05764507428940019,3,0.2,0.413254641199548,0.07142182062584998,0.10985174636884372,0.5346921968293186,0.5104019600901252,0.2669250203399991,0.2799902984988918,0.4439054866676254
Kachin,MMR001,Chipwi,MMR001005,22760.235051575983,7969,1991.5492061604696,5,0,0,0,5,0,0,0.00998951743166176,NA,0,0.6189743872910984,0.3179410493229043,0.09750847203425268,0.7189814213329868,0.404158764356353,0.41715346024328226,0.6759831967779426,0.6725613482266164
Kachin,MMR001,Tsawlaw,MMR001006,7403.124510513114,1940,0,3,3,0,0,0,0,6,0.00285409754632707,2,0.13333333333333333,0.7152580035787304,0.3369135140627887,0.13919857711283348,0.7635215159889459,0.5239248491206763,0.3180628272251309,0.46934229044318027,0.7527486127140708
Kachin,MMR001,Puta-O,MMR001014,69368.79863141889,18542,4636.462735824779,70,32,7,0,24,7,66,0.05789476491349758,NA,0,0.41882665354713666,0.10368437564564244,0.124633778446037,0.5401003444660776,0.6891434047933861,0.22570720262074465,0.21952406465492008,0.6215289264418228
Kachin,MMR001,Sumprabum,MMR001015,2891.7390309552607,1646,410.6379127492752,23,18,0,0,3,2,22,0.02200451260873998,NA,0,0.3746997354912881,0.17813635264895686,0.12870699272909183,0.6032285471537808,0.5684598581617635,0.2187171398527865,0.4062851075002179,0.5837442581587045
Kachin,MMR001,Machanbaw,MMR001016,10060.889370071363,2636,659.011746469699,2,1,0,0,1,0,0,0.00111161114857472,NA,0,0.4229119409644553,0.09411738311433568,0.134288383057216,0.5571220223626641,0.626987768357466,0.12533043072617012,0.2210343492829634,0.6450839473650107
Kachin,MMR001,Nawngmun,MMR001017,8090.28166437326,2120,0,6,0,0,0,5,1,0,0.0033012445969768,1,0.06666666666666667,0.4063848220842683,0.18342708873813457,0.14074579357691988,0.4709302325581395,0.6464554019633003,0.08046647230320703,0.2036521421625152,0.6643360579067146
Kachin,MMR001,Khaunglanhpu,MMR001018,13237.713435107447,3468,866.9297756888743,1,0,0,0,0,1,0,0.00110158368097906,NA,0,0.4776212486222304,0.24657035651013084,0.1431423446921279,0.5684670977558006,0.6937535197828462,0.16852749104697706,0.2771339676476289,0.4719594671870284
Kayah,MMR002,Bawlake,MMR002005,12712.895004683189,4844,1000,29,16,3,0,7,3,51,0.02666787638179214,1,0.06666666666666667,0.323149895937572,0.15307950524702887,0.17278216534877863,0.5834561532792926,0.18873610329045087,0.04504099741660117,0.24213183178351508,0.4635498044965317
Kayah,MMR002,Hpasawng,MMR002006,29590.199595294787,11348,8000,4,4,0,0,0,0,0,0.00303051239768301,2,0.13333333333333333,0.3441611432201558,0.18685935840477272,0.1586263924806668,0.5668800830593528,0.2564474304023986,0.16875252321356482,0.15834675960043162,0.5405079396904308
Kayah,MMR002,Mese,MMR002007,7305.63691656903,2982,900,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0.42623843860192256,0.11689193719751129,0.19695904898461805,0.5450967530337816,0.2897512699001765,0.09498133554541675,0.13921259890726756,0.5894917140875537
Kayah,MMR002,Loikaw,MMR002001,148449.29351548982,69687,25000,212,80,44,11,49,28,264,0.3029087131602485,1,0.06666666666666667,0.248762249332815,0.0809387624599657,0.10203576170518644,0.5001344830314058,0.0973400771300821,0.07497398441028058,0.16408697413945111,0.4562479820858721
Kayah,MMR002,Demoso,MMR002002,91567.29695033768,67077,25000,302,160,66,1,47,28,740,0.4732281863681852,2,0.13333333333333333,0.3748184898526058,0.12734201159661312,0.1073878738375046,0.6365310417397405,0.18371313679191528,0.08991974812203762,0.23577373752774777,0.6177190807677992
Kayah,MMR002,Hpruso,MMR002003,33960.40177042233,17007,4000,64,39,14,0,6,5,185,0.1034272822745438,NA,0,0.45996658608781704,0.15119268500309588,0.11939141919017753,0.7252834377229842,0.2379208018867978,0.09013096351730598,0.3183993973334227,0.6480872364228496
Kayah,MMR002,Shadaw,MMR002004,7794.683350452351,2970,500,8,8,0,0,0,0,32,0.01028676244104207,NA,0,0.4577336397655837,0.22060476891373257,0.1917768612546148,0.8277282086479067,0.22920720479694864,0.04300218992633875,0.5623991026866276,0.6065362583234516
Kayin,MMR003,Hpa-An,MMR003001,437422.79044545017,134831,15000,102,25,28,6,30,13,88,0.11189258343553786,8,0.5333333333333333,0.38415741483481114,0.11790898904269412,0.1452437815961223,0.6633928107446723,0.36945752710198193,0.3642844690748608,0.24798727964077172,0.5396146607345077
Kayin,MMR003,Hlaingbwe,MMR003002,275878.0378153535,90664,15000,13,1,6,0,4,2,9,0.03469387648617323,8,0.5333333333333333,0.517888081476717,0.17770041286981367,0.1751159033191275,0.8394893753251431,0.5470203028395035,0.47505284025847594,0.4995741765079365,0.6320093946104393
Kayin,MMR003,Thandaunggyi,MMR003004,99662.77380742782,32704,7000,35,16,10,0,5,4,42,0.05163393013063688,1,0.06666666666666667,0.4220700227800665,0.25689187482688214,0.1440729015848217,0.5928771946519484,0.48599699987617334,0.2355269251820976,0.09004103832280487,0.5806558482243216
