state,admin1_pcode,township,admin3_pcode,total_population_2021proj,food_security_pin_2022,food_security_target_2022,beneficiaries_2022,partners_2022
Yangon,MMR013,North Okkalapa,MMR013012,387868.8990213952,108603.75,108602.70827479297,340959,7
Yangon,MMR013,Thaketa,MMR013013,256671.4959286959,71867.5,71867.9811399701,NA,NA
Yangon,MMR013,Dawbon,MMR013014,87659.28122938855,24545,24545.401262330943,NA,NA
Yangon,MMR013,Tamwe,MMR013015,192382.59220542855,53867.5,53866.87418277388,NA,NA
Yangon,MMR013,Pazundaung,MMR013016,56389.38562190537,15788.75,15788.97202591606,NA,NA
Yangon,MMR013,Botahtaung,MMR013017,47707.829193478705,13358.75,13357.807828590629,NA,NA
Yangon,MMR013,Dagon Myothit (South),MMR013018,432502.10729209863,121100,121101.4099596002,NA,NA
Yangon,MMR013,Dagon Myothit (North),MMR013019,237343.97727409672,66456.25,66455.6863647331,NA,NA
Yangon,MMR013,Dagon Myothit (East),MMR013020,192749.1726712401,53970,53970.23165304706,NA,NA
Yangon,MMR013,Dagon Myothit (Seikkan),MMR013021,194867.1931403737,54562.5,54563.18592132887,1000,1
Yangon,MMR013,Mingalartaungnyunt,MMR013022,154189.56265790385,43172.5,43172.9224559262,NA,NA
Yangon,MMR013,Insein,MMR013001,355272.33125192724,99476.25,99475.74725010256,NA,NA
Yangon,MMR013,Mingaladon,MMR013002,385882.3820209496,108047.5,108046.9330341756,NA,NA
Yangon,MMR013,Hmawbi,MMR013003,284660.787304043,79705,79704.9795548732,2899,1
Yangon,MMR013,Hlegu,MMR013004,315074.1647437887,88221.25,88221.23387235914,3826,1
Yangon,MMR013,Taikkyi,MMR013005,322669.94474490674,90347.5,90348.4154733367,325,1
Yangon,MMR013,Htantabin,MMR013006,169665.07705270514,47506.25,47505.77842627601,NA,NA
Yangon,MMR013,Shwepyithar,MMR013007,399777.52729647426,111937.5,111938.2923577508,380512,4
Yangon,MMR013,Hlaingtharya,MMR013008,800503.5088140167,227976.27210950773,227976,868376,9
Yangon,MMR013,Thanlyin,MMR013023,311957.6489106349,87348.75,87347.8583052521,8496,1
Yangon,MMR013,Kyauktan,MMR013024,194867.1931403737,54562.5,54563.18592132887,NA,NA
Yangon,MMR013,Thongwa,MMR013025,183727.80196974368,51443.75,51444.21544937408,NA,NA
Yangon,MMR013,Kayan,MMR013026,183894.21786374704,51490,51489.61900097004,NA,NA
Yangon,MMR013,Twantay,MMR013027,263979.8302947172,73913.75,73913.64751916009,NA,NA
Yangon,MMR013,Kawhmu,MMR013028,138544.1411265676,38792.50000000001,38791.640487892946,NA,NA
Yangon,MMR013,Kungyangon,MMR013029,129911.46209358246,36375,36374.7906150022,NA,NA
Yangon,MMR013,Dala,MMR013030,201161.9034247383,56325,56324.6670430415,162515,7
Yangon,MMR013,Seikgyikanaungto,MMR013031,39570.90659997209,11080,11080.146153935675,NA,NA
Yangon,MMR013,Cocokyun,MMR013032,2257.670170395138,632.5,631.8523867747328,NA,NA
Yangon,MMR013,Kyauktada,MMR013033,34741.35443134332,9727.5,9728.420777423498,NA,NA
Yangon,MMR013,Pabedan,MMR013034,38794.68701045995,10862.5,10863.487658962093,NA,NA
Yangon,MMR013,Lanmadaw,MMR013035,54882.332595791086,15367.5,15366.946873362169,NA,NA
Yangon,MMR013,Latha,MMR013036,29160.02137092318,8165,8165.194020751816,NA,NA
Yangon,MMR013,Ahlone,MMR013037,64567.03937827991,18078.75,18079.228976981663,NA,NA
Yangon,MMR013,Kyeemyindaing,MMR013038,129774.13988734195,36336.25,36337.24083314043,NA,NA
Yangon,MMR013,Sanchaung,MMR013039,115931.36324979032,32461.25,32461.218291526653,NA,NA
Yangon,MMR013,Hlaing,MMR013040,186556.8721678007,52236.25,52236.07579312577,NA,NA
Yangon,MMR013,Kamaryut,MMR013041,98416.9632165703,27556.25,27557.2503016338,NA,NA
Yangon,MMR013,Mayangone,MMR013042,230553.5105502536,64555,64555.01704593349,NA,NA
Yangon,MMR013,Dagon,MMR013043,29189.115058686,8172.5,8173.04778384729,NA,NA
Yangon,MMR013,Bahan,MMR013044,112571.6241869394,31520,31519.94522775214,NA,NA
Yangon,MMR013,Seikkan,MMR013045,3288.7504647096184,921.25,921.149894272878,NA,NA
